Concept	Définition
Quatuor	Morceau de musique vocale ou instrumentale composé pour quatre parties. Dans son acception la plus étendue, ce mot s'applique à toute espèce de musique écrite pour quatre voix ou pour quatre instruments, quelle que soit d'ailleurs l'importance relative de chacune des parties. Mais, dans un sens plus restreint et plus particulièrement usité, il ne s'applique qu'aux compositions dont toutes les parties sont concertantes ou obligés. C'est dans ce sens que J.-J. Rousseau, dont au reste les connaissances musicales étaient incomplètes et fort erronées, dit qu'il n'existe point de vrais quatuors, ou qu'ils ne valent rien. Cette assertion, trop absolue pour être juste, prouve tout au plus que le célèbre philosophe a voulu jouer sur le mot, ou que la portée de ses vues en musique ne s'étendait pas au-delà du cercle , rétréci qui servait alors de limite à l'art musical. Le quatuor concertant, lorsqu'il est écrit pour des voix, peut être accompagné par l'orchestre. Quant au quatuor instrumental, il est ordinairement exécuté par les seuls instruments pour lesquels il a été écrit. Cependant il peut être également accompagné par l'orchestre, et s'il est conçu dans des proportions instrumentales brillantes, le morceau prend le nom de symphonie concertante. Il n'y a pas longtemps que les quatuors et autres morceaux d'ensemble sont usités en France. Les opéras de Gluck ne présentent même, à l'exception des choeurs, que du récitatif, des airs, quelques duos, et presque jamais des trios et des morceaux d'ensemble. C'est encore à l'Italie que nous devons l'introduction de cette partie si intéressante de l'art. Le premier trio qui parut fut entendu dans un opéra bouffon, composé par Logroscino et exécuté en 1750. Le succès n'eut rien de bien remarquable, mais la route était indiquée ; une nouvelle carrière s'ouvrait au génie, et depuis Piccinni jusqu'à Paisiello et Mozart, les progrès lurent immenses. On se souvient encore de l'enthousiasme qu'excita le fameux septuor du Roi Théodore de Paisiello, et les quatuors, sextuors et finales des différents opéras de Mozart. Spontini et Weber montrent à quel point il est possible de répandre du charme et de l'intérêt sur les scènes lyriques à plusieurs personnages. L'illustre Haydn, qu'on a si justement surnommé le père de la symphonie, peut à aussi juste titre être regardé comme le créateur du quatuor instrumental. Après lui Mozart, Beethoven, Mendelssohn, ont dignement continué l'oeuvre qu'il avait commencée, et porté ce genre de musique à un point de perfection qui ne laisse rien à désirer.
Querelles musicales	Les querelles musicales les plus célèbres sont celles qui eurent lieu dans le siècle dernier entre les Lullistes et les Ramistes, et plus tard par les Gluchistes et les Piccinnistes. Nos lecteurs nous sauront gré sans doute d'entrer dans quelques détails sur ce dernier sujet. Gluck, en venant en France avec son lphigénie en Aulide d'abord, ensuite avec Orphée arrangé pour notre théâtre, tout en nous apportant de nouvelles jouissances, flattait aussi notre orgueil national ; il rendait son éclat à un titre presque effacé de notre gloire. lphigénie en Aulide fut représentée en 1774. Le succès croissait de représentation en représentation, et les critiques croissaient aussi tous les jours. Ces critiques n'étaient pas seulement celles de l'envie, c'étaient celles de dix à douze hommes de lettres, dont les jugements avaient beaucoup d'autorité, et qui entraînèrent à leur suite une foule d'amateurs et de dilettanti. Ces hommes ne pouvaient plus concevoir une autre musique que celle dont ils avaient goûté le charme dans leur jeunesse; d'autres affirmaient que Piccinni avait atteint les dernières limites de l'art, et criaient : Italiain, Italiam, comme si Gluck était un barbare, parce qu'il était Allemand, parce qu'il sacrifiait de vains ornements à l'expression vraie des paroles et de la situation. C'était un avantage et non un inconvénient pour Gluck d'être né dans cette Allemagne, organisée et passionnée pour tous les genres de musique, et qui a donné à l'Europe de savantes leçons et d'éclatants modèles de l'harmonie la plus belle et la plus variée. C'en fut un autre pour lui de s'être transporté tout jeune en Italie, cette vraie patrie de la musique et où florissaient alors de célèbres écoles et d'excellents maîtres. Il étudia a Milan, sous la direction de J.-B. San-Martini, compositeur habile et fécond. C'est à Milan qu'en 1741, Gluck lit représenter Artcccerse, son premier opéra. La naissance, la formation et l'entier développement des vues musicales de Gluck furent précisément les résultats de ces croisements de tous les pays. Il était naturel à ceux qui avaient concouru à créer ou à rapprocher du moins les éléments du génie de Gluck, placés à une grande distancé, de prendre un intérêt plus particulier et plus vif à ses créations; et lorsqu'ils eurent entendu sa musique avec des transports de plaisir, il leur était naturel d'en parler avec des transports d'enthousiasme. D'anciennes habitudes, les préventions qu'elles donnent, les préjugés qu'elles établissent, pouvaient seuls faire penser que des compositeurs nés en Italie avaient le privilége exclusif de nous donner une musique qui convînt à notre langue, à nos oreilles et à notre scène lyrique. Les premiers s'appuyaient sur l'autorité des faits, si puissants sur nos jugements, et sur celle des impressions, si puissantes sur notre âme. Les seconds n'avaient pour appui que des doctrines et des ouvrages que les Piccinni et les Sacchini pouvaient faire un jour, mais qu'ils n'avaient pas faits encore. Ces derniers, tous écrivains renommés, étaient en grand nombre. Parmi les premiers, l'abbé Arnaud et Suard parurent longtemps seuls dans la lice. Mais le plus habile défenseur de la musique de Gluck l'ut, sans aucun doute, l'auteur anonyme d'une série d'articles qui parurent dans la Gazette de Paris, sous ce titre : Petites lettres, par un habitant de Vaugirard. Rien de plus solide et de plus piquant que cette correspondance, qu'on attribue généralement à Diderot. Depuis les dix-huit petites lettres de Pascal, qui firent une si glorieuse révolution dans la langue, dans la plaisanterie et dans l'éloquence françaises, jamais petites lettres n'ont été, depuis la première, attendues avec plus d'impatience; on courait de toutes parts aux cafés de Foy et du Caveau, et l'on en faisait des lectures publiques ; on : s'étouffait pour mieux entendre ; on battait des mains avec des transports et avec des bravos. Pendant que tout ceci se passait, des scènes d'un caractère plus grave et plus sérieux avaient lieu dans la salle de l'Académie royale de Musique ; on applaudissait avec fureur, on sifflait avec acharnement, et les jeunes gens, les vieillards même en venaient quelquefois aux mains.
Queue	On distingue dans les notes la tête et la queue ; la tête est le corps même de la note ; la queue est le trait perpendiculaire qui tient à la tête, et qui monte ou qui descend indifféremment à travers la portée. Dans le plain-chant, la plupart des notes n'ont pas de queue ; mais dans la musique figurée moderne, il n'y a que la ronde qui n'en ait point. Dans la composition de la fugue on appelle queue les notes ajoutées à un sujet pour amener sa réponse. On appelle aussi queue, ce que les Italiens nomment coda, pour désigner la fin, la péroraison d'un morceau.
Queue de violon, de violoncelle	C'est la partie de ces instruments à laquelle les cordes sont attachées, tandis qu'elles sont roulées de l'autre côté des chevilles.
Quinquatria minora ou quinquartus minuscule	Nom que l'on donnait, à Rome, à la fête des joueurs de flûte, pendant laquelle on se promenait dans les rues de la ville, vêtu d'un costume particulier à ce jour, pour aller ensuite se réunir au temple de Minerve.
Quinque	Nom qu'on donnait autrefois en France a un morceau de chant à cinq voix ; aujourd'hui on dit quintetto ou quintette.
Quinte	La seconde des consonnances dans l'ordre de leur génération. La quinte est une consonnance parfaite; son rapport est de 2 à 3 ; elle est composée de quatre degrés diatoniques, arrivant au cinquième son, d'où lui vient son nom de quinte. Son intervalle est de trois tons et demi. On compte trois espèces de quintes, 1° la quinte juste ou inaltérée, ou simplement quinte ; 2° la quinte diminuée, que l'on appelait autrefois fausse quinte ; cet intervalle est composé de deux tons et deux demi-tons; 3°la quinte augmentée; cet intervalle est composé de trois tons et deux demi-tons.
Quintes (leur influence sur la voix)	Une des études les plus essentielles pour assouplir la voix est celle des quintes. Lorsque l'élève peut l'exécuter d'une manière correcte avec toute l'énergie et la netteté convenables, il faut doubler la vitesse du mouvement, et faire dire trois quintes avec la même respiration. Outre les résultats que cet exercice doit faire obtenir quand il est bien dirigé, il en est un qui concourt d'une manière bien essentielle au mécanisme vocal. C'est la puissance de l'inspiration. Comme toutes les autres parties de l'organisation humaine, les poumons sont susceptibles d'habitudes, et, par conséquent, soumis à une sorte d'éducation. Les plongeurs qui se tiennent sous l'eau pendant plusieurs minutes sont, on le conçoit, des hommes dont l'appareil respiratoire est doué d'une grande vigueur ; mais, quelle que soi t l'excellence deleurs organes, il ne faut pas croire que ces hommes arrivent tout naturellement à suspendre les mouvements de leurs poumons pendant un intervalle de temps qui paraîtrait fabuleux à ceux qui n'en ont pas été témoins ; ils ne parviennent au dernier degré de leur art qu'au moyen d'exercices gradués, par lesquels ils obtiennent peu à peu de leurs poumons toute la puissance inspiratrice dont ils sont susceptibles. Il est juste de dire que les vigoureux poumons d'un individu arrivé à tout son développement organique, n'ont besoin d'aucune extension pour suffire à la longueur d'expiration que nécessite l'exécution des trois quintes dont nous venons de parler. Mais chez les sujets moins développés ou moins favorisés par la nature, l'appareil respiratoire peut paraître au premier abord défectueux, sans qu'il le soit en effet. Il faut les habituer peu à peu à donner à leurs poumons l'extension normale de toutes leurs facultés. Pour arriver à ce but, la tenue d'une note serait insuffisante ; il faut une succession de sons, telle que les quintes ascendantes ou descendantes. Mais cet exercice exige de la part du maître une prudence qui est en quelque sorte du domaine de la médecine ; car il y a dans la nature humaine des limites qu'on ne peut franchir sous peine de mort, et qu'il faut cependant atteindre pour obtenir d'indispensables résultats. Le moindre abus, provenant de l'inexpérience du maître et des efforts exagérés de l'élève, peut entraîner, même dans de bonnes organisations, des désordres dont le moindre effet est l'affaiblissement et la perte de la voix. On voit, au résumé, combien l'étude des quintes est essentielle, puisque ses résultats sont d'assouplir la voix avec une merveilleuse promptitude, de donner au trait son véritable caractère de netteté et d'énergie, d'égaliser toutes les notes de la voix, et d'habituer les poumons à fournir de longues expirations. En harmonie, la grammaire musicale défend la succession immédiate de deux octaves et de deux quintes par mouvement direct. Cependant'dans une composition à quatre parties, elle peut tolérer quelquefois deux quintes successives par mouvement contraire ; mais elle ne permet deux octaves par mouvement contraire que dans les morceaux à cinq parties ou à plus de cinq ; il faut, en outre, que ces octaves se trouvent entre les voix intermédiaires, ou tout au plus entre une voix extérieure et une voix intermédiaire. On défend les deux octaves par mouvement direct, parce que c'est une pauvreté qui n'ajoute rien à l'harmonie. On défend les quintes, parce quelles produisent une dureté.
Quintette	Morceau de musique composé pour cinq instruments ou cinq voix, et dont chaque partie est concertante ou obligée. Les quintettes sont ordinairement composés d'un allégro ou moderato ; d'un andante d'un menuet ou scherzo, et d'un finale. Sans parler dans un sens absolu, on peut dire que le mérite de ce genre de composition consiste autant dans le charme et la variété de la mélodie que dans l'exposition, l'arrangement et le développement des idées, la conception d'un plan déroulé avec art, et enfin dans l'intérêt d'une instrumentation nuancée avec goût. Boccherini a composé un grand nombre de quintettes très-remarquables par la naïveté, la grâce et l'originalité du style. Georges Onslow a su se créer, dans le même genre, un style et une manière. Reicha a aussi composé plusieurs quintettes pour flûte, haut-bois, clarinette, cor et basson, qui jouissent d'une imputation bien méritée. Il est fort difficile de composer un bon quatuor ou un bon quintette, et tel musicien qui compte au théâtre des succès brillants et mérités, serait fort embarrassé d'en produire un passable. Ce genre de musique exige des études toutes particulières; il a des mélodies et des tours de phrases qui lui sont propres, des rhythmes d'accompagnement qui ne conviennent qu'à lui, et enfin des moyens d'expression qui, partout ailleurs, seraient dépourvus d'énergie.
Quinticlave	Instrument à vent, en cuivre, du genre ophicléïde, ayant cinq clefs.
Quinton	Espèce de violon, d'une forme plus ramassée et plus haute que celle du violon ordinaire.
Quinzième	Double octave. On donne aussi ce nom à un registre de l'orgue.
Quolibet	On entendait autrefois par ce mot des morceaux de musique d'un caractère comique et trivial Ainsi, par exemple, on unissait deux voix, dont l'une chantait des paroles tout à fait différentes de celles que chantait l'autre. Un tel ensemble produisait des jeux de mots ridicules. Aujourd'ui on donne aussi ce nom à un centon musical.
Rabana	Espèce de timbales dont se servent les femmes indiennes pour accompagner leur chant.
Racler	Terme de mépris, par lequel on désigne la mauvaise manière de jouer d'un instrument, tel que le violon ou la basse, en faisant crier les cordes sous l'archet.
Racleur	Musicien qui joue avec dureté du violon ou de la basse.
Rallentando	Ce mot signifie qu'on doit aller en retardant peu à peu la mesure, comme on diminue peu à peu la force des sons dans le diminuendo.
Ramage	On désigne par ce nom le chant modulé des oiseaux chanteurs, tels que le rossignol, la fauvette, le serin, etc. Ramage se prend en mauvaise part, lorsqu'il s'agit d'un chanteur qui ne plaît pas. C'est en ce sens qu'on dit : L'ennuyeux ramage de cet homme me fatigue.
Ranz des vaches	C'est un air bucolique, sans art, grossier quelquefois, que les bouviers de la Suisse jouent avec délices sur la cornemuse, en menant paître leurs vaches sur les rochers, où ils sont nés ainsi qu'elles. Cet air est devenu fameux, européen même par les effets sympathiques qu'il exerçait sur les montagnards helvétiens, au temps de l'âge d'or de l'Helvélie, il y a un peu plus d'un demi-siècle. Dans les régiments suisses à la solde de la France, sitôt que la cornemuse s'enflait pour jouer cet air, une douce joie brillait dans les yeux de ces fiers soldats ; mais ils n'entendaient pas plutôt ses sons rustiques et si connus que répétèrent si souvent les échos de leurs montagnes, que la patrie, leurs chalets, leurs rochers, leur enfance, leurs soeurs, leurs vieux pères, leurs fiancées, se reflétaient dans leur âme avec tant de vivacité, qu'une mélancolie profonde succédait à cette première joie. La plupart d'entre eux n'y pouvait résister. Les uns désertaient, d'autres tombaient dans une langueur incurable, et beaucoup mouraient. Dès lors le code militaire défendit de jouer cet air, sous peine de mort.
Rapport des intervalles	C'est le calcul exact du degré de distance entre deux sons différents, exprimé par des chiffres.
Rapsodes , rapsodies , rapsodistes	Quand les poëmes d'Homère furent répandus dans la Grèce, les rapsodes, renonçant à composer eux-mêmes, se bornèrent à chanter les divers épisodes de l'Iliade et de l'Odyssée, Ils cousaient ses chants l'un à la suite de l'autre, suivant les désirs de leurs auditeurs. Par exemple, ils faisaient suivre la colère d'Achille, devenue le premier chant de l'Iliade, par le combat de Paris et de Ménélas, qui en forme le troisième. Chacun de ces chants pris à part, s'appelait une rapsodie. Les rapsodes étaient fort recherchés par les Grecs, si passionnés pour les arts et pour les jouissances qu'ils procurent. On les invitait aux fêtes et aux sacrifices publics, où ils chantaient les poëmes d'Orphée, de Musée, d'Hésiode et surtout d'Homère. Les rois et les princes en avaient à leurs gages pour chanter durant les repas. Ils étaient fort soigneux de leurs parures, et ne se montraient jamais qu'avec de riches habits, quelquefois même, à l'imitation des poètes, avec une couronne d'or sur leur tête.
Rasette	Fil de fer qui sert à accorder dans les orgues les jeux d'anches.
Rasgado	Prélude que les Espagnols exécutent en attaquant successivement loutes les cordes de la guitare avec le pouce, et en suivant la mesure et le rhythme des boléros et des seguidillas. Le rasgado est la ritournelle ordinaire de ces sortes d'airs.
Rats de ballet	Ce sont de petites femmes qui agitent les jambes, qui élèvent les bras et font à peu près quelque chose qui ressemble à de la danse. Le rat est élève de l'école de danse, et si on l'a ainsi nommé, c'est probablement parce qu'il est l'enfant de la maison, qu'il y vit, qu'il y grignote ; parce qu'il ronge et égratigne les RÉC 407 décorations, éraille et troue les costumes et commet une foule de dommages inconnus.
Ravanastron	Instrument à archet, d'origine indienne, composé d'un cylindre de bois de sycomore creusé de part en part; sur un des côtés est tendue une peau de serpent qui forme la table d'harmonie. Une tige de bois qui traverse le cylindre forme manche. Il porte deux cordes. RÉ. C'est le second degré de notre échelle musicale. Il porte accord pariait mineur, et s'emploie en harmonie comme second degré de la gamme majeure naturelle d'ut, ou comme quatrième degré du relatif mineur de cette même gamme. Dans ce dernier cas, on lui fait quelquefois porter l'accord parfait majeur, pour éviter la seconde augmentée que ferait sa tierce mineure, fa naturel, avec le sol dièse sensible du ton. Ré est aussi le nom qu'on donne à la troisième corde du violon et à la seconde de l'alto, du violoncelle et de la contre-basse, parce que dans l'accord ordinaire, ces cordes sonnent l'unisson ou l'octave de cette même note.
Rebab	Instrument à archet arabe, dont le corps est formé de quatre éclisses sur lesquelles sont tendues deux parchemins qui forment la table et le dos. Le manche est cylindrique et ne fait qu'une seule pièce avec la tête. Il est garni de deux cordes.
Rebec	Instrument d'une forme à peu près semblable à celle du violon, dont on faisait usage en France dans le moyen-âge, et qui ne fut abandonné par les ménétriers qu'à la fin du dix-septième siècle. Le rebec était monté de trois cordes accordées de quinte en quinte; il y avait des dessus, des tailles et des basses de rebec. L'usage du violon était interdit à tout ménétrier non reçu maître dans la corporation des joueurs d'instruments, sous peine de saisie et d'amende.
Récit	Cette expression a vieilli et n'est plus en usage aujourd'hui ; elle est remplacée par le mot italien solo (seul) qui paraît plus convenable, puisque réciter dans l'ancien langage signifiait chanter ou jouer seul, par opposition au choeur ou à la symphonie, qui, comme on sait, sont exécutés par un nombre plus ou moins considérable de concertants.
Récitant	Celui qui chante un récit. Ces deux mots se prennent dans l'ancienne acception du mot récit.
Récitatif	Un opéra entièrement composé d'airs chantés sans interruption, nous ennuierait et nous fatiguerait à la seconde scène, malgré le charme, la beauté, l'expression qui pourraient se trouver réunis dans ces airs; pour remédier à ce grave inconvénient, il faut avoir recours au dialogue parlé, ou imaginer un langage de convention qui tienne le milieu entre la parole ordinaire et la parole musicale, un moyen d'union, enfin, qui fasse disparaître ce qui nous choque dans la transition immédiate de la parole au chant. Le récitatif semble remplir toutes ces conditions. C'est une sorte de déclamation notée, soutenue par une basse ou qu'accompagne l'orchestre, et contre laquelle il n'y aurait rien à dire si elle n'était quelquefois, trop souvent même, monotone dans son accentuation, et pauvre dans ses formes musicales, dont les combinaisons sont extrêmement restreintes. Tel qu'il est encore aujourd'hui, le récitatif offre cependant quelquefois des passages remarquables, surtout lorsqu'il est entremêlé de traits de symphonie qui lui donnent de l'expression et lui impriment ce caractère énergique et vrai qui, seul, le rend supportable. Le récitatif, cependant, n'exclut pas l'inspiration, tant s'en faut, et il y a de magnifiques récitatifs dans les chefs-d'oeuvre des grands maîtres. Ceux de Gluck seront toujours cités, ceux d'Otello, de Guillaume Tell sont admirables. Il y a deux espèces de récitatifs, celui qui n'est accompagné que par la basse ou le piano, quelquefois par tous les deux ensemble, et qu'on appelle récitatif libre ou simple, et celui qui est accompagné par l'orchestre, et dont les intervalles de repos sont remplis par des traits de symphonie. Il prend alors le nom de récitatif obligé. Les Italiens faisaient autrefois usage du premier, ils ne l'emploient plus aujourd'hui que dans les opéras bouffes ; le second est plus particulièrement usité dans les tragédies lyriques, les drames et les opéras d'un caractère mixte, tels que nos opéras comiques français. Tout le mérite du récitatif réside dans l'expression et l'énergie de l'accentuation.
Réciter	Chanter un récit.
Redoublement	C'est dans l'harmonie l'emploi simultané du même son fait par deux parties différentes (Voyez le mot DOUBLEMENT).
Redowa	C'est une danse à trois temps ; elle a beaucoup d'analogie avec la Mazurka, et elle en a les mêmes RÉG 409 proportions. C'est sur le troisième temps.que doit porter la mélodie.
Reductio modi	Autrefois, lorsqu'on composait un morceau de musique dans un ton transposé, et qu'on voulait examiner s'il était traité conformément à son ton originaire, on le transposait de nouveau dans son ton primitif. Ce procédé s'appelait reductio modi. RÉDUCTION. Suite de notes qui descendent diatoniquement. RÉDUIRE. C'est arranger une composition à un ou plusieurs instruments d'une nature, différente, cpmme réduire un concerto pour piano. Il se dit principalement de la réduction d'une partition pour le piano, ou d'un morceau à plusieurs voix, pour une seule voix, RÉEL. Quelques maîtres de chant donnent le nom de sons réels à ceux qui sont produits par le registre de la voix de poitrine, et sont directement lancés par toute la force du souffle; ils appellent, par opposition,.sons de fausset ceux de la voix de tête, attendu qu'étant formés par la partie supérieure de la trachée et ne pouvant recevoir le même volume d'air, ils sont maigres et sans force. Dans une mélodie, on appelle notes réelles, les notes de cette mélodie faisant partie des accords qui l'accompagnent. On appelle dans une composition à plusieurs voix, parties réelles, les parties qui marchent sans former entre elles plusieurs unissons ou octaves de suite, c'està-dire qui ont chacune leur allure bien distincte et aussi élégante que possible: on dit d'une fugue qu'elle est, par exemple, à six, à huit parties réelles pour dire qu'il n'y a pas de partie oiseuse, et purement de remplissage.
Refrain	Terminaison d'un couplet ou d'un air de vaudeville, qu'on répète ordinairement deux fois, et qu'on chante quelquefois en choeur.
Régale	Jeu d'anche, le plus ancien de tous les jeux d'orgue. Il n'est plus employé dans les orgues modernes.
Régiment (musique de)	La musique a été regardée dans tous les temps.comme un puissant moyen d'action sur les sentiments belliqueux. Quoi de plus propre, en effet, à seconder l'élan, à échauffer l'enthousiasme du guerrier? Non-seulement elle l'électrise, l'enflamme et lui fait affronter les périls; mais elle le. délasse des fatigues de la guerre, ou l'aide à supporter patiemment et avec courage les longues marches, les travaux les plus pénibles. On sait combien est grande, sous ce rapport, l'influence du rhythme. Le maréchal de Saxe voulait que l'on fît travailler les soldats au son du tambour et des instruments en cadence. Depuis longtemps, en Europe, la musique de régiment a pris une grande extension, et il n'y a pas aujourd'hui un peuple qui ne possède dans ses armées des corps de musique militaire. C'est en Italie et en Allemagne qu'elle reçut d'abord un accroissement remarquable. Pierre-le-Grand, s'occupant de l'organisation de ses armées de terre et de mer, fit venir en Russie des trompettes et des timbales, des hautbois et des bassons. A chaque régiment il affecta un corps de musique dirigé par un chef, qui, en dehors de ses fonctions, était tenu de choisir parmi les enfants de troupe un certain nombre de sujets, auxquels il devait enseigner un des instruments dont se composait alors la musique militaire. Au moyen de cette disposition, tous les régiments russes furent en peu d'années pourvus de musiciens recrutés dans l'armée elle-même. Les anciennes musiques des régiments français se sont accrues successivement d'emprunts faits aux milices étrangères. On devait l'arigot ou fifre aux Suisses, le tambour et le basson aux Italiens, la trompette aux Maures de la péninsule, les cymbales et la grosse caisse aux Orientaux ; la cornemuse vient des Anglais, la clarinette et le hautbois sont une importation de l'Allemagne. Toutefois il ne paraît pas qu'en empruntant aux Allemands quelques-uns de leurs instruments, les Français leur aient pris en même temps leur manière d'en jouer; car Jean-Jacques Rousseau nous apprend que, dans la guerre de 1756, les paysans autrichiens et bavarois, ne pouvant croire que des troupes réglées eussent des instruments si faux et si détestables, prirent tous les vieux corps pour de nouvelles levées qu'ils commencèrent à mépriser. De nos jours, où l'art musical est parvenu en France à un si haut degré, les musiques militaires des régiments d'infanterie sont restées dans un état d'infériorité en présence de celles d'Allemagne, de Russie, d'Angleterre et d'Italie. Cependant de notables améliorations ont été introduites dans l'organisation de la musique de ces régiments ; car à la suite des nouvelles adjonctions d'instruments qui eurent lieu sous l'Empire et la Restauration, le nombre des musicien?, qui en. 1807 était de huit seulement, fut porté successivement à douze et à vingt-sept. Nous devons dire que, grâce à l'éducation donnée au Conservatoire de Musique de Paris, de grands progrès se sont accomplis dans cette branche de l'art. Maintenant, le chef de musique a rang d'officier, le sous-chef ce lui d'adjudant. La,musique des régiments d'infanterie, outre ces chefs, se compose de 5 musiciens de première classe, rang'de sergent-majors; 8 de seconde classe, rang de sergents ; 10 de troisième classe, rang de caporaux, et 15 élèves ayant rang de musiciens de quatrième classe, en tout 40. Pour les régiments de cavalerie, la musique se compose de 4 musiciens de première classe; 8 de deuxième; 8 de troisième, et 7 de quatrième, formant un total de 27 musiciens.
Registre	Diversité du timbre dans la voix du chanteur. Une voix de dessus a trois registres ; celle de ténor en a deux, et les voix de basse et contre-alto n'ont qu'un seul registre.
Registre d'orgue	Les registres sont des règles de bois que l'organiste tire ou pousse, et qui font agir certains mouvements pour ouvrir et fermer les jeux de l'orgue, selon qu'il éprouve le besoin de les faire chanter ou de les réduire au silence. La poignée par laquelle l'organiste ouvre ou ferme un registre s'appelle tirant.
Règle	Prescription ou précepte auquel on doit conformer la composition et l'exécution.
Règle d'octave	Formule d'harmonie établie pour l'accompagnement des gammes, majeure et mineure, tant en montant qu'en descendant, pour faciliter l'exécution dé la basse non chiffrée à celui qui joue de la basse continue, et pour simplifier l'art ordinaire de chiffrer l'harmonie. (Voyez OCTAVE.) RÉGLEUR. Ouvrier qui trace les portées sur le papier pour écrire la musique.
Régulier	Tout ce qui est renfermé dans les règles et dans de justes limites, ou qui suit une progression uniforme. C'est pourquoi on appelle cadence régulière celle qui s'accomplit selon les formules usitées ; marche régulière, une progression de basse portant des accords se succédant par une marche identique; imitation régulière, celle dont les parties s'imitent bien, etc.
Ré la	Désigne dans l'ancien solfége la nuance de ces syllabes sur le son ré ou la.
Relation	Rapport entre un son qui vient d'être entendu dans une partie vocale et instrumentale, et un autre son qu'on entend actuellement dans une autre. Lorsque ces deux sons concourent à laisser dans l'oreille la sensation d'une consonnance exacte, la relation est bonne. Quand il résulte de leur rapport une consonnance altérée, la relation est fausse ; les fausses relations sont proscrites dans la composition scolastique.
Relation non harmonique	Les anciens appelaient de ce nom une mauvaise succession de sons.
Rentrée	Retour du sujet, après quelques pauses de silence, dans une fugue, une imitation ou dans quelque autre endroit. Toute les fois qu'une partie a gardé le silence pendant une ou plusieurs phrases, elle forme sa rentrée soit qu'elle reproduise le sujet ou non.
Renversement	Un accord est renversé quand sa note fondamentale n'est pas à la basse. L'accord parfait a deux renversements, et l'accord de dominante, trois. Les renversements et leurs positions ont tous une expression particulière ; leur choix est déterminé par les exigences de la pensée, par celle du mouvement naturel et facile des parties, et par la pensée du compositeur.
Répercussion	C'est la première entrée de chacune des parties de la fugue, soit qu'elles fassent entendre le sujet, soit qu'elles contiennent la réponse.
Réplique	Signifie octave, quand il s'agit d'un son redoublé, et reprise du sujet, quand on parle d'une fugue. On nomme également réplique la répétition que fait un instrument d'une phrase de chant déjà exécutée par un autre instrument ou par une voix pour avertir l'exécutant du moment de sa rentrée.
Répons	Espèce d'antienne redoublée qu'on chante à l'église après les leçons de matines, et qui finit en manière de rondeau, par une reprise appelée réclame.
Réponse	C'est, dans une fugue, la rentrée du sujet par une autre partie. Si le sujet est dans le ton de la tonique, la réponse doit être dans le ton de la dominante et vice versa ; dans une contre-fugue, c'est la rentrée du sujet qu'on vient d'entendre, après l'avoir renversé. (Voyez le mot FUGUE).
Repos	C'est la terminaison de la phrase, terminaison sur laquelle le chant se repose plus ou moins parfaitement. Le repos ne peut s'établir que par une cadence sur la tonique ou sur la dominante. Si la cadence est évitée, il ne peut y avoir de vrai repos, car il est impossible à l'oreille de se reposer sur une dissonance. On voit par là qu'il y a précisément autant d'espèces de repos que de sortes de cadences pleines. Ces différents repos produisent dans la musiquel'effet de la ponctuation dans le discours.
Reprise	Au sens propre, c'est toute partie d'un morceau de musique qui doit être jouée ou chantée deux fois. Mais généralement on applique cette dénomination à la première ainsi qu'à la secondé divisiond'un morceau, quoique cette dernière ne s'exécute presque jamais qu'une fois. Dans un sens plus restreint, bu entend quelquefois par. reprise la seconde partie seulement. C'est dans ce sens qu'on dit : La reprise de cette ouverture est mieux faite que la première partie.
Reprise d'un opéra	Représentation d'un opéra qu'on donné après être resté plus ou moins longtemps sans être joué.
Requiem	Prière que l'Eglise fait pour les morts, et dont l'introït commence par'ce mot. Il y a de sublimes musiques composées sur ce thème, par Jomelli, Mozart, Cherubini.
Ré sol	Désignait dans l'ancien solfége le changement de ces deux syllabes sur le son ré ou sol.
Résolution	La résolution consiste en ce que la dissonance frappée descend quelquefois, mais rarement, et monte d'un degré conjoint sur la consonnance voisine. On dit aussi qu'un accord se résout sur un autre, la septième dominante se résout sur la tonique ou sur la su-dominante, ou sur une autre septième, etc. (Voyez DISSONANCE et ACCORDS (des).)
Résonance	Prolongement ou réflexion du son, soit par les vibrations continuées des cordes d'un instrument, soit par les parois d'un corps sonore, soit par la collision de l'air renfermé dans un instrument à vent.
Résonance multiple	Propriété que possède un son d'en faire entendre plusieurs autres. On dit résonnance sous-multiple quand deux sons en produisent un troisième.
Respiration	C'est l'action que font les poumons pour attirer ou repousser l'air. Cette action se divise en deux mouvements alternatifs, l'aspiration et l'expiration. Dans l'aspiration, les poumons se dilatent pour introduire l'air extérieur dans la poitrine, et dans l'expiration, ils s'affaisent pour le faire sortir. On ne saurait trop recommander aux élèves de s'occuper de la respiration. Elle est tout pour léchant. Sans un grand volume d'air, qu'on doit savoir comprimer et ménager longtemps avec adresse, il n'est point de force ni de timbre dans la voix ; de plus, sans cette faculté, il n'est guère possible de bien phraser un chant.
Retard	On retarde, dans un accord, une note consonnante par une note prise dans l'accord, précédent. Le retard peut être aussi purement mélodique, et ne pas figurer dans l'harmonie sur laquelle se déroule le chant. L'art des retards est celui de la coquetterie en musique, ils ont pour objet de faire désirer un son dont l'apparition satisfait l'oreille. Le retard est l'empiétement du levé sur une partie du frappé ; presque tous les retards sont produits par l'effet des prolongations.
